0,title,url,stage,date,start_time,end_time
1,A BAND CALLED BRIAN,https://www.thinkofasong.com/a-band-named-brian-epk/,THE BANDSTAND,24/06/2023,12:30,13:00
2,A FOR ALPHA X ARLO,http://a for alpha (@aforalphaaa) | instagram,NOWHERE,23/06/2023,20:00,21:00
3,A FOR ALPHA: SUPPER CLUB TAKEOVER,https://www.instagram.com/aforalphaaa/,BABYLON UPRISING,24/06/2023,18:00,19:00
4,A LITTLE SOUND,,THE LONELY HEARTS CLUB,23/06/2023,22:30,23:30
5,A LITTLE SOUND,https://www.instagram.com/alittlesounduk/,THE TEMPLE,22/06/2023,22:30,23:15
6,ABANDOMAN AKA ROB BRODERICK,https://www.abandoman.com/,SENSATION SEEKERS STAGE,23/06/2023,13:30,14:15
7,ABANDOMAN AKA ROB BRODERICK,https://www.abandoman.com/,SENSATION SEEKERS STAGE,24/06/2023,14:05,14:50
8,ABANDOMAN AKA ROB BRODERRICK,https://www.abandoman.com/,SENSATION SEEKERS STAGE,25/06/2023,14:05,14:50
9,ABLE MABLE (COMPERE),,SENSATION SEEKERS STAGE,24/06/2023,12:00,18:00
10,ABLE MABLE (COMPERE),,SENSATION SEEKERS STAGE,25/06/2023,15:00,18:30
11,ABOVE AND BEYOND,,OUTSIDE CIRCUS STAGE,23/06/2023,00:25,00:33
12,ABOVE AND BEYOND,,OUTSIDE CIRCUS STAGE,23/06/2023,23:37,23:45
13,ABOVE AND BEYOND,,OUTSIDE CIRCUS STAGE,24/06/2023,00:24,00:32
14,ABOVE AND BEYOND,,OUTSIDE CIRCUS STAGE,24/06/2023,23:35,23:43
15,ABOVE AND BEYOND,,OUTSIDE CIRCUS STAGE,25/06/2023,00:51,00:57
16,ABOVE AND BEYOND,,OUTSIDE CIRCUS STAGE,25/06/2023,00:26,00:34
17,ABSOLUTE. B2B JODIE HARSH,,STONEBRIDGE BAR,22/06/2023,16:30,18:00
18,ACOUSTIC JAM SESSION,,THE LIZARD STAGE,21/06/2023,23:00,02:00
19,ACOUSTIC OPEN MIC,,CROISSANT NEUF BANDSTAND,21/06/2023,11:00,12:00
20,ACOUSTIC OPEN MIC,,CROISSANT NEUF BANDSTAND,22/06/2023,20:00,23:00
21,ACOUSTIC OPEN MIC,,CROISSANT NEUF BANDSTAND,22/06/2023,11:00,12:00
22,ACOUSTIC OPEN MIC,,CROISSANT NEUF BANDSTAND,23/06/2023,20:00,23:00
23,ACOUSTIC OPEN MIC,,CROISSANT NEUF BANDSTAND,23/06/2023,11:00,11:50
24,ACOUSTIC OPEN MIC,,CROISSANT NEUF BANDSTAND,24/06/2023,20:30,23:00
25,ACOUSTIC OPEN MIC,,CROISSANT NEUF BANDSTAND,24/06/2023,11:00,11:50
26,ACOUSTIC OPEN MIC,,CROISSANT NEUF BANDSTAND,25/06/2023,18:30,23:00
27,"ACTIVISTS MASTERCLASS - JAMIE KELSEY FRY, A22 & LISA WINTERSTEIGER",http://making real change happen - a master class in successful activism,SPEAKERS FORUM,21/06/2023,17:00,18:00
